domain,subdomain,track_name,skills,description,pathway_json,source,model_used
Technology,DevOps and Platform,DevOps Engineer,"CI/CD, Docker, Kubernetes, Linux, Terraform, Observability","Automates build, release, and infrastructure operations.","[{""phaseName"":""Phase 1: Linux and Networking Foundations"",""items"":[{""title"":""[Free YouTube] Learn Linux command line fundamentals"",""resourceUrl"":""https://www.youtube.com/results?search_query=linux+command+line+full+course"",""estHours"":8,""cost"":""free""},{""title"":""[Free Docs] Practice shell navigation, permissions, processes, and logs"",""resourceUrl"":""https://linuxjourney.com/"",""estHours"":6,""cost"":""free""},{""title"":""[Paid Udemy] Take a structured Linux administration course"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=linux%20administration"",""estHours"":10,""cost"":""paid""}]},{""phaseName"":""Phase 2: Git, CI/CD, and Docker"",""items"":[{""title"":""[Free YouTube] Learn GitHub Actions CI/CD by building a pipeline"",""resourceUrl"":""https://www.youtube.com/results?search_query=github+actions+cicd+full+course"",""estHours"":6,""cost"":""free""},{""title"":""[Free Docs] Learn Docker images, containers, volumes, and compose"",""resourceUrl"":""https://docs.docker.com/get-started/"",""estHours"":8,""cost"":""free""},{""title"":""[Paid Udemy] Complete a Docker and CI/CD course"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=docker%20cicd"",""estHours"":10,""cost"":""paid""}]},{""phaseName"":""Phase 3: Kubernetes, Terraform, and Cloud"",""items"":[{""title"":""[Free YouTube] Learn Kubernetes fundamentals"",""resourceUrl"":""https://www.youtube.com/results?search_query=kubernetes+full+course"",""estHours"":10,""cost"":""free""},{""title"":""[Free Docs] Build infrastructure with Terraform tutorials"",""resourceUrl"":""https://developer.hashicorp.com/terraform/tutorials"",""estHours"":8,""cost"":""free""},{""title"":""[Paid Udemy] Follow a DevOps AWS/Kubernetes course"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=devops%20aws%20kubernetes"",""estHours"":12,""cost"":""paid""}]},{""phaseName"":""Phase 4: Monitoring and Portfolio Deployment"",""items"":[{""title"":""[Free Docs] Add service monitoring and alerts"",""resourceUrl"":""https://prometheus.io/docs/introduction/overview/"",""estHours"":5,""cost"":""free""},{""title"":""[Free GitHub] Publish a complete CI/CD deployment project"",""resourceUrl"":""https://github.com/"",""estHours"":8,""cost"":""free""},{""title"":""[Paid Coursera] Study cloud DevOps practices"",""resourceUrl"":""https://www.coursera.org/search?query=devops"",""estHours"":10,""cost"":""paid""}]}]",seed-materials,
Technology,Quality Engineering,QA Automation Engineer,"Testing, Selenium, Playwright, API Testing, JavaScript, CI/CD",Builds automated testing systems and validates software quality.,"[{""phaseName"":""Phase 1: Testing Foundations"",""items"":[{""title"":""[Free YouTube] Learn Testing fundamentals for QA Automation Engineer"",""resourceUrl"":""https://www.youtube.com/results?search_query=Testing%20tutorial%20for%20beginners"",""estHours"":6,""cost"":""free""},{""title"":""[Free Roadmap] Review the QA Automation Engineer skill map"",""resourceUrl"":""https://roadmap.sh/"",""estHours"":3,""cost"":""free""},{""title"":""[Paid Udemy] Take a structured Testing course"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Testing"",""estHours"":8,""cost"":""paid""}]},{""phaseName"":""Phase 2: Selenium Core Tools"",""items"":[{""title"":""[Free YouTube] Practice Selenium with guided tutorials"",""resourceUrl"":""https://www.youtube.com/results?search_query=Selenium%20tutorial"",""estHours"":6,""cost"":""free""},{""title"":""[Free Docs] Read official Selenium references and examples"",""resourceUrl"":""https://www.google.com/search?q=Selenium%20official%20documentation"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Coursera] Study Selenium with graded exercises"",""resourceUrl"":""https://www.coursera.org/search?query=Selenium"",""estHours"":8,""cost"":""paid""}]},{""phaseName"":""Phase 3: Playwright Applied Project"",""items"":[{""title"":""[Free YouTube] Build a QA Automation Engineer project using Playwright"",""resourceUrl"":""https://www.youtube.com/results?search_query=Playwright%20project%20tutorial"",""estHours"":8,""cost"":""free""},{""title"":""[Free GitHub] Publish notes, screenshots, and source files"",""resourceUrl"":""https://github.com/"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Udemy] Complete a portfolio project for QA Automation Engineer"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=QA%20Automation%20Engineer%20project"",""estHours"":10,""cost"":""paid""}]},{""phaseName"":""Phase 4: Portfolio and Interview Prep"",""items"":[{""title"":""[Free YouTube] Practice QA Automation Engineer interview questions"",""resourceUrl"":""https://www.youtube.com/results?search_query=QA%20Automation%20Engineer%20interview%20questions"",""estHours"":5,""cost"":""free""},{""title"":""[Free Docs] Create a case study and resume proof points"",""resourceUrl"":""https://www.freecodecamp.org/news/tag/career/"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Udemy] Prepare for QA Automation Engineer interviews"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=QA%20Automation%20Engineer%20interview"",""estHours"":6,""cost"":""paid""}]}]",seed-materials,
Technology,Database Administration,Database Administrator,"SQL, PostgreSQL, MySQL, Backup, Performance Tuning, Security",Maintains secure and performant database systems.,"[{""phaseName"":""Phase 1: SQL Foundations"",""items"":[{""title"":""[Free YouTube] Learn SQL fundamentals for Database Administrator"",""resourceUrl"":""https://www.youtube.com/results?search_query=SQL%20tutorial%20for%20beginners"",""estHours"":6,""cost"":""free""},{""title"":""[Free Roadmap] Review the Database Administrator skill map"",""resourceUrl"":""https://roadmap.sh/"",""estHours"":3,""cost"":""free""},{""title"":""[Paid Udemy] Take a structured SQL course"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=SQL"",""estHours"":8,""cost"":""paid""}]},{""phaseName"":""Phase 2: PostgreSQL Core Tools"",""items"":[{""title"":""[Free YouTube] Practice PostgreSQL with guided tutorials"",""resourceUrl"":""https://www.youtube.com/results?search_query=PostgreSQL%20tutorial"",""estHours"":6,""cost"":""free""},{""title"":""[Free Docs] Read official PostgreSQL references and examples"",""resourceUrl"":""https://www.google.com/search?q=PostgreSQL%20official%20documentation"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Coursera] Study PostgreSQL with graded exercises"",""resourceUrl"":""https://www.coursera.org/search?query=PostgreSQL"",""estHours"":8,""cost"":""paid""}]},{""phaseName"":""Phase 3: MySQL Applied Project"",""items"":[{""title"":""[Free YouTube] Build a Database Administrator project using MySQL"",""resourceUrl"":""https://www.youtube.com/results?search_query=MySQL%20project%20tutorial"",""estHours"":8,""cost"":""free""},{""title"":""[Free GitHub] Publish notes, screenshots, and source files"",""resourceUrl"":""https://github.com/"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Udemy] Complete a portfolio project for Database Administrator"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Database%20Administrator%20project"",""estHours"":10,""cost"":""paid""}]},{""phaseName"":""Phase 4: Portfolio and Interview Prep"",""items"":[{""title"":""[Free YouTube] Practice Database Administrator interview questions"",""resourceUrl"":""https://www.youtube.com/results?search_query=Database%20Administrator%20interview%20questions"",""estHours"":5,""cost"":""free""},{""title"":""[Free Docs] Create a case study and resume proof points"",""resourceUrl"":""https://www.freecodecamp.org/news/tag/career/"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Udemy] Prepare for Database Administrator interviews"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Database%20Administrator%20interview"",""estHours"":6,""cost"":""paid""}]}]",seed-materials,
Technology,Blockchain,Blockchain Developer,"Solidity, Smart Contracts, Web3, Cryptography, Security, JavaScript",Builds decentralized applications and smart contract systems.,"[{""phaseName"":""Phase 1: Solidity Foundations"",""items"":[{""title"":""[Free YouTube] Learn Solidity fundamentals for Blockchain Developer"",""resourceUrl"":""https://www.youtube.com/results?search_query=Solidity%20tutorial%20for%20beginners"",""estHours"":6,""cost"":""free""},{""title"":""[Free Roadmap] Review the Blockchain Developer skill map"",""resourceUrl"":""https://roadmap.sh/"",""estHours"":3,""cost"":""free""},{""title"":""[Paid Udemy] Take a structured Solidity course"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Solidity"",""estHours"":8,""cost"":""paid""}]},{""phaseName"":""Phase 2: Smart Contracts Core Tools"",""items"":[{""title"":""[Free YouTube] Practice Smart Contracts with guided tutorials"",""resourceUrl"":""https://www.youtube.com/results?search_query=Smart%20Contracts%20tutorial"",""estHours"":6,""cost"":""free""},{""title"":""[Free Docs] Read official Smart Contracts references and examples"",""resourceUrl"":""https://www.google.com/search?q=Smart%20Contracts%20official%20documentation"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Coursera] Study Smart Contracts with graded exercises"",""resourceUrl"":""https://www.coursera.org/search?query=Smart%20Contracts"",""estHours"":8,""cost"":""paid""}]},{""phaseName"":""Phase 3: Web3 Applied Project"",""items"":[{""title"":""[Free YouTube] Build a Blockchain Developer project using Web3"",""resourceUrl"":""https://www.youtube.com/results?search_query=Web3%20project%20tutorial"",""estHours"":8,""cost"":""free""},{""title"":""[Free GitHub] Publish notes, screenshots, and source files"",""resourceUrl"":""https://github.com/"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Udemy] Complete a portfolio project for Blockchain Developer"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Blockchain%20Developer%20project"",""estHours"":10,""cost"":""paid""}]},{""phaseName"":""Phase 4: Portfolio and Interview Prep"",""items"":[{""title"":""[Free YouTube] Practice Blockchain Developer interview questions"",""resourceUrl"":""https://www.youtube.com/results?search_query=Blockchain%20Developer%20interview%20questions"",""estHours"":5,""cost"":""free""},{""title"":""[Free Docs] Create a case study and resume proof points"",""resourceUrl"":""https://www.freecodecamp.org/news/tag/career/"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Udemy] Prepare for Blockchain Developer interviews"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Blockchain%20Developer%20interview"",""estHours"":6,""cost"":""paid""}]}]",seed-materials,
Design,Product Design,Product Designer,"Figma, UX Research, Visual Design, Prototyping, Design Systems, Accessibility",Designs digital products that balance user needs and business goals.,"[{""phaseName"":""Phase 1: Figma Foundations"",""items"":[{""title"":""[Free YouTube] Learn Figma fundamentals for Product Designer"",""resourceUrl"":""https://www.youtube.com/results?search_query=Figma%20tutorial%20for%20beginners"",""estHours"":6,""cost"":""free""},{""title"":""[Free Roadmap] Review the Product Designer skill map"",""resourceUrl"":""https://roadmap.sh/"",""estHours"":3,""cost"":""free""},{""title"":""[Paid Udemy] Take a structured Figma course"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Figma"",""estHours"":8,""cost"":""paid""}]},{""phaseName"":""Phase 2: UX Research Core Tools"",""items"":[{""title"":""[Free YouTube] Practice UX Research with guided tutorials"",""resourceUrl"":""https://www.youtube.com/results?search_query=UX%20Research%20tutorial"",""estHours"":6,""cost"":""free""},{""title"":""[Free Docs] Read official UX Research references and examples"",""resourceUrl"":""https://www.google.com/search?q=UX%20Research%20official%20documentation"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Coursera] Study UX Research with graded exercises"",""resourceUrl"":""https://www.coursera.org/search?query=UX%20Research"",""estHours"":8,""cost"":""paid""}]},{""phaseName"":""Phase 3: Visual Design Applied Project"",""items"":[{""title"":""[Free YouTube] Build a Product Designer project using Visual Design"",""resourceUrl"":""https://www.youtube.com/results?search_query=Visual%20Design%20project%20tutorial"",""estHours"":8,""cost"":""free""},{""title"":""[Free GitHub] Publish notes, screenshots, and source files"",""resourceUrl"":""https://github.com/"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Udemy] Complete a portfolio project for Product Designer"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Product%20Designer%20project"",""estHours"":10,""cost"":""paid""}]},{""phaseName"":""Phase 4: Portfolio and Interview Prep"",""items"":[{""title"":""[Free YouTube] Practice Product Designer interview questions"",""resourceUrl"":""https://www.youtube.com/results?search_query=Product%20Designer%20interview%20questions"",""estHours"":5,""cost"":""free""},{""title"":""[Free Docs] Create a case study and resume proof points"",""resourceUrl"":""https://www.freecodecamp.org/news/tag/career/"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Udemy] Prepare for Product Designer interviews"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Product%20Designer%20interview"",""estHours"":6,""cost"":""paid""}]}]",seed-materials,
Design,UX Research,UX Researcher,"User Interviews, Surveys, Usability Testing, Personas, Synthesis, Reporting",Studies users and turns insights into product direction.,"[{""phaseName"":""Phase 1: User Interviews Foundations"",""items"":[{""title"":""[Free YouTube] Learn User Interviews fundamentals for UX Researcher"",""resourceUrl"":""https://www.youtube.com/results?search_query=User%20Interviews%20tutorial%20for%20beginners"",""estHours"":6,""cost"":""free""},{""title"":""[Free Roadmap] Review the UX Researcher skill map"",""resourceUrl"":""https://roadmap.sh/"",""estHours"":3,""cost"":""free""},{""title"":""[Paid Udemy] Take a structured User Interviews course"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=User%20Interviews"",""estHours"":8,""cost"":""paid""}]},{""phaseName"":""Phase 2: Surveys Core Tools"",""items"":[{""title"":""[Free YouTube] Practice Surveys with guided tutorials"",""resourceUrl"":""https://www.youtube.com/results?search_query=Surveys%20tutorial"",""estHours"":6,""cost"":""free""},{""title"":""[Free Docs] Read official Surveys references and examples"",""resourceUrl"":""https://www.google.com/search?q=Surveys%20official%20documentation"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Coursera] Study Surveys with graded exercises"",""resourceUrl"":""https://www.coursera.org/search?query=Surveys"",""estHours"":8,""cost"":""paid""}]},{""phaseName"":""Phase 3: Usability Testing Applied Project"",""items"":[{""title"":""[Free YouTube] Build a UX Researcher project using Usability Testing"",""resourceUrl"":""https://www.youtube.com/results?search_query=Usability%20Testing%20project%20tutorial"",""estHours"":8,""cost"":""free""},{""title"":""[Free GitHub] Publish notes, screenshots, and source files"",""resourceUrl"":""https://github.com/"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Udemy] Complete a portfolio project for UX Researcher"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=UX%20Researcher%20project"",""estHours"":10,""cost"":""paid""}]},{""phaseName"":""Phase 4: Portfolio and Interview Prep"",""items"":[{""title"":""[Free YouTube] Practice UX Researcher interview questions"",""resourceUrl"":""https://www.youtube.com/results?search_query=UX%20Researcher%20interview%20questions"",""estHours"":5,""cost"":""free""},{""title"":""[Free Docs] Create a case study and resume proof points"",""resourceUrl"":""https://www.freecodecamp.org/news/tag/career/"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Udemy] Prepare for UX Researcher interviews"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=UX%20Researcher%20interview"",""estHours"":6,""cost"":""paid""}]}]",seed-materials,
Design,UI Design,UI Designer,"Visual Design, Typography, Layout, Color, Figma, Responsive Design",Creates polished digital interface layouts and component systems.,"[{""phaseName"":""Phase 1: Visual Design Foundations"",""items"":[{""title"":""[Free YouTube] Learn Visual Design fundamentals for UI Designer"",""resourceUrl"":""https://www.youtube.com/results?search_query=Visual%20Design%20tutorial%20for%20beginners"",""estHours"":6,""cost"":""free""},{""title"":""[Free Roadmap] Review the UI Designer skill map"",""resourceUrl"":""https://roadmap.sh/"",""estHours"":3,""cost"":""free""},{""title"":""[Paid Udemy] Take a structured Visual Design course"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Visual%20Design"",""estHours"":8,""cost"":""paid""}]},{""phaseName"":""Phase 2: Typography Core Tools"",""items"":[{""title"":""[Free YouTube] Practice Typography with guided tutorials"",""resourceUrl"":""https://www.youtube.com/results?search_query=Typography%20tutorial"",""estHours"":6,""cost"":""free""},{""title"":""[Free Docs] Read official Typography references and examples"",""resourceUrl"":""https://www.google.com/search?q=Typography%20official%20documentation"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Coursera] Study Typography with graded exercises"",""resourceUrl"":""https://www.coursera.org/search?query=Typography"",""estHours"":8,""cost"":""paid""}]},{""phaseName"":""Phase 3: Layout Applied Project"",""items"":[{""title"":""[Free YouTube] Build a UI Designer project using Layout"",""resourceUrl"":""https://www.youtube.com/results?search_query=Layout%20project%20tutorial"",""estHours"":8,""cost"":""free""},{""title"":""[Free GitHub] Publish notes, screenshots, and source files"",""resourceUrl"":""https://github.com/"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Udemy] Complete a portfolio project for UI Designer"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=UI%20Designer%20project"",""estHours"":10,""cost"":""paid""}]},{""phaseName"":""Phase 4: Portfolio and Interview Prep"",""items"":[{""title"":""[Free YouTube] Practice UI Designer interview questions"",""resourceUrl"":""https://www.youtube.com/results?search_query=UI%20Designer%20interview%20questions"",""estHours"":5,""cost"":""free""},{""title"":""[Free Docs] Create a case study and resume proof points"",""resourceUrl"":""https://www.freecodecamp.org/news/tag/career/"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Udemy] Prepare for UI Designer interviews"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=UI%20Designer%20interview"",""estHours"":6,""cost"":""paid""}]}]",seed-materials,
Business,Product Management,Product Manager,"Strategy, Roadmapping, User Research, Analytics, Prioritization, Communication",Defines product direction and coordinates teams to ship valuable outcomes.,"[{""phaseName"":""Phase 1: Strategy Foundations"",""items"":[{""title"":""[Free YouTube] Learn Strategy fundamentals for Product Manager"",""resourceUrl"":""https://www.youtube.com/results?search_query=Strategy%20tutorial%20for%20beginners"",""estHours"":6,""cost"":""free""},{""title"":""[Free Roadmap] Review the Product Manager skill map"",""resourceUrl"":""https://roadmap.sh/"",""estHours"":3,""cost"":""free""},{""title"":""[Paid Udemy] Take a structured Strategy course"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Strategy"",""estHours"":8,""cost"":""paid""}]},{""phaseName"":""Phase 2: Roadmapping Core Tools"",""items"":[{""title"":""[Free YouTube] Practice Roadmapping with guided tutorials"",""resourceUrl"":""https://www.youtube.com/results?search_query=Roadmapping%20tutorial"",""estHours"":6,""cost"":""free""},{""title"":""[Free Docs] Read official Roadmapping references and examples"",""resourceUrl"":""https://www.google.com/search?q=Roadmapping%20official%20documentation"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Coursera] Study Roadmapping with graded exercises"",""resourceUrl"":""https://www.coursera.org/search?query=Roadmapping"",""estHours"":8,""cost"":""paid""}]},{""phaseName"":""Phase 3: User Research Applied Project"",""items"":[{""title"":""[Free YouTube] Build a Product Manager project using User Research"",""resourceUrl"":""https://www.youtube.com/results?search_query=User%20Research%20project%20tutorial"",""estHours"":8,""cost"":""free""},{""title"":""[Free GitHub] Publish notes, screenshots, and source files"",""resourceUrl"":""https://github.com/"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Udemy] Complete a portfolio project for Product Manager"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Product%20Manager%20project"",""estHours"":10,""cost"":""paid""}]},{""phaseName"":""Phase 4: Portfolio and Interview Prep"",""items"":[{""title"":""[Free YouTube] Practice Product Manager interview questions"",""resourceUrl"":""https://www.youtube.com/results?search_query=Product%20Manager%20interview%20questions"",""estHours"":5,""cost"":""free""},{""title"":""[Free Docs] Create a case study and resume proof points"",""resourceUrl"":""https://www.freecodecamp.org/news/tag/career/"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Udemy] Prepare for Product Manager interviews"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Product%20Manager%20interview"",""estHours"":6,""cost"":""paid""}]}]",seed-materials,
Business,Project Management,Project Manager,"Planning, Agile, Risk Management, Stakeholder Communication, Jira, Reporting","Plans and coordinates projects across scope, schedule, and resources.","[{""phaseName"":""Phase 1: Planning Foundations"",""items"":[{""title"":""[Free YouTube] Learn Planning fundamentals for Project Manager"",""resourceUrl"":""https://www.youtube.com/results?search_query=Planning%20tutorial%20for%20beginners"",""estHours"":6,""cost"":""free""},{""title"":""[Free Roadmap] Review the Project Manager skill map"",""resourceUrl"":""https://roadmap.sh/"",""estHours"":3,""cost"":""free""},{""title"":""[Paid Udemy] Take a structured Planning course"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Planning"",""estHours"":8,""cost"":""paid""}]},{""phaseName"":""Phase 2: Agile Core Tools"",""items"":[{""title"":""[Free YouTube] Practice Agile with guided tutorials"",""resourceUrl"":""https://www.youtube.com/results?search_query=Agile%20tutorial"",""estHours"":6,""cost"":""free""},{""title"":""[Free Docs] Read official Agile references and examples"",""resourceUrl"":""https://www.google.com/search?q=Agile%20official%20documentation"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Coursera] Study Agile with graded exercises"",""resourceUrl"":""https://www.coursera.org/search?query=Agile"",""estHours"":8,""cost"":""paid""}]},{""phaseName"":""Phase 3: Risk Management Applied Project"",""items"":[{""title"":""[Free YouTube] Build a Project Manager project using Risk Management"",""resourceUrl"":""https://www.youtube.com/results?search_query=Risk%20Management%20project%20tutorial"",""estHours"":8,""cost"":""free""},{""title"":""[Free GitHub] Publish notes, screenshots, and source files"",""resourceUrl"":""https://github.com/"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Udemy] Complete a portfolio project for Project Manager"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Project%20Manager%20project"",""estHours"":10,""cost"":""paid""}]},{""phaseName"":""Phase 4: Portfolio and Interview Prep"",""items"":[{""title"":""[Free YouTube] Practice Project Manager interview questions"",""resourceUrl"":""https://www.youtube.com/results?search_query=Project%20Manager%20interview%20questions"",""estHours"":5,""cost"":""free""},{""title"":""[Free Docs] Create a case study and resume proof points"",""resourceUrl"":""https://www.freecodecamp.org/news/tag/career/"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Udemy] Prepare for Project Manager interviews"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Project%20Manager%20interview"",""estHours"":6,""cost"":""paid""}]}]",seed-materials,
Business,Business Analysis,Business Analyst,"Requirements, Process Mapping, SQL, Excel, Stakeholder Interviews, Documentation",Translates business needs into clear requirements and operational improvements.,"[{""phaseName"":""Phase 1: Requirements Foundations"",""items"":[{""title"":""[Free YouTube] Learn Requirements fundamentals for Business Analyst"",""resourceUrl"":""https://www.youtube.com/results?search_query=Requirements%20tutorial%20for%20beginners"",""estHours"":6,""cost"":""free""},{""title"":""[Free Roadmap] Review the Business Analyst skill map"",""resourceUrl"":""https://roadmap.sh/"",""estHours"":3,""cost"":""free""},{""title"":""[Paid Udemy] Take a structured Requirements course"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Requirements"",""estHours"":8,""cost"":""paid""}]},{""phaseName"":""Phase 2: Process Mapping Core Tools"",""items"":[{""title"":""[Free YouTube] Practice Process Mapping with guided tutorials"",""resourceUrl"":""https://www.youtube.com/results?search_query=Process%20Mapping%20tutorial"",""estHours"":6,""cost"":""free""},{""title"":""[Free Docs] Read official Process Mapping references and examples"",""resourceUrl"":""https://www.google.com/search?q=Process%20Mapping%20official%20documentation"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Coursera] Study Process Mapping with graded exercises"",""resourceUrl"":""https://www.coursera.org/search?query=Process%20Mapping"",""estHours"":8,""cost"":""paid""}]},{""phaseName"":""Phase 3: SQL Applied Project"",""items"":[{""title"":""[Free YouTube] Build a Business Analyst project using SQL"",""resourceUrl"":""https://www.youtube.com/results?search_query=SQL%20project%20tutorial"",""estHours"":8,""cost"":""free""},{""title"":""[Free GitHub] Publish notes, screenshots, and source files"",""resourceUrl"":""https://github.com/"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Udemy] Complete a portfolio project for Business Analyst"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Business%20Analyst%20project"",""estHours"":10,""cost"":""paid""}]},{""phaseName"":""Phase 4: Portfolio and Interview Prep"",""items"":[{""title"":""[Free YouTube] Practice Business Analyst interview questions"",""resourceUrl"":""https://www.youtube.com/results?search_query=Business%20Analyst%20interview%20questions"",""estHours"":5,""cost"":""free""},{""title"":""[Free Docs] Create a case study and resume proof points"",""resourceUrl"":""https://www.freecodecamp.org/news/tag/career/"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Udemy] Prepare for Business Analyst interviews"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Business%20Analyst%20interview"",""estHours"":6,""cost"":""paid""}]}]",seed-materials,
Business,Operations,Operations Analyst,"Excel, SQL, Process Improvement, Dashboards, Forecasting, Documentation",Improves business processes using analysis and operational discipline.,"[{""phaseName"":""Phase 1: Excel Foundations"",""items"":[{""title"":""[Free YouTube] Learn Excel fundamentals for Operations Analyst"",""resourceUrl"":""https://www.youtube.com/results?search_query=Excel%20tutorial%20for%20beginners"",""estHours"":6,""cost"":""free""},{""title"":""[Free Roadmap] Review the Operations Analyst skill map"",""resourceUrl"":""https://roadmap.sh/"",""estHours"":3,""cost"":""free""},{""title"":""[Paid Udemy] Take a structured Excel course"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Excel"",""estHours"":8,""cost"":""paid""}]},{""phaseName"":""Phase 2: SQL Core Tools"",""items"":[{""title"":""[Free YouTube] Practice SQL with guided tutorials"",""resourceUrl"":""https://www.youtube.com/results?search_query=SQL%20tutorial"",""estHours"":6,""cost"":""free""},{""title"":""[Free Docs] Read official SQL references and examples"",""resourceUrl"":""https://www.google.com/search?q=SQL%20official%20documentation"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Coursera] Study SQL with graded exercises"",""resourceUrl"":""https://www.coursera.org/search?query=SQL"",""estHours"":8,""cost"":""paid""}]},{""phaseName"":""Phase 3: Process Improvement Applied Project"",""items"":[{""title"":""[Free YouTube] Build a Operations Analyst project using Process Improvement"",""resourceUrl"":""https://www.youtube.com/results?search_query=Process%20Improvement%20project%20tutorial"",""estHours"":8,""cost"":""free""},{""title"":""[Free GitHub] Publish notes, screenshots, and source files"",""resourceUrl"":""https://github.com/"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Udemy] Complete a portfolio project for Operations Analyst"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Operations%20Analyst%20project"",""estHours"":10,""cost"":""paid""}]},{""phaseName"":""Phase 4: Portfolio and Interview Prep"",""items"":[{""title"":""[Free YouTube] Practice Operations Analyst interview questions"",""resourceUrl"":""https://www.youtube.com/results?search_query=Operations%20Analyst%20interview%20questions"",""estHours"":5,""cost"":""free""},{""title"":""[Free Docs] Create a case study and resume proof points"",""resourceUrl"":""https://www.freecodecamp.org/news/tag/career/"",""estHours"":4,""cost"":""free""},{""title"":""[Paid Udemy] Prepare for Operations Analyst interviews"",""resourceUrl"":""https://www.udemy.com/courses/search/?q=Operations%20Analyst%20interview"",""estHours"":6,""cost"":""paid""}]}]",seed-materials,
